,序號,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明,公司代號
0,1,110/06/10,16:57:41,顧大為,財務長,(03)5670766,聯發科技110年5月份自結合併營收淨額公告,第 51款,110/06/10,1.事實發生日:110/06/10 2.公司名稱:聯發科技股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:不適用 5.發生緣由: 聯發科技一百一十年五月份自結合併營收淨額為新台幣413億2仟6佰萬元， 較前月合併營收淨額新台幣365億7仟2佰萬元增加13.00%。 6.因應措施:無 7.其他應敘明事項:無,2454
1,1,110/06/10,20:50:57,顧大為,財務長,(03)5670766,代重要子公司立錡科技股份有限公司公告民國110年除息基準日,第 14款,110/06/10,"1.董事會、股東會決議或公司決定日期:110/06/10 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:盈餘分配普通股現金股利新台幣NT$6,174,358,335元 4.除權（息）交易日:NA 5.最後過戶日:110/07/04 6.停止過戶起始日期:110/07/05 7.停止過戶截止日期:110/07/09 8.除權（息）基準日:110/07/09 9.其他應敘明事項:現金股利發放日110/07/21",2454
2,2,110/06/10,20:51:39,顧大為,財務長,(03)5670766,代重要子公司達發科技股份有限公司公告召集董事會 (代行使股東會職權),第 17款,110/06/10,1.董事會決議日期:110/06/10 2.股東會召開日期:110/06/10 3.股東會召開地點:不適用 4.召集事由一、報告事項: (1)109年度營業報告書。 5.召集事由二、承認事項: (1)承認109年度營業報告書及財務報表案。 6.召集事由三、討論事項:(1) 109年度盈餘分配案 (2)修訂公司章程案。 7.召集事由四、選舉事項:無 8.召集事由五、其他議案:無 9.召集事由六、臨時動議:無 10.停止過戶起始日期:NA 11.停止過戶截止日期:NA 12.其他應敘明事項:無,2454
3,3,110/06/10,20:52:03,顧大為,財務長,(03)5670766,代重要子公司達發股份有限公司公告董事會決議股利分派,第 14款,110/06/10,1.董事會決議日期:110/06/10 2.發放股利種類及金額:董事會決議110年第一季盈餘保留不分配 3.其他應敘明事項:無,2454
4,2,110/06/10,20:52:22,顧大為,財務長,(03)5670766,代重要子公司達發科技股份有限公司公告董事會 (代行使股東會職權)重要決議事項,第 18款,110/06/10,1.股東常會日期:110/06/10 2.重要決議事項一、盈餘分配或盈虧撥補:盈餘不分配 3.重要決議事項二、章程修訂:是 4.重要決議事項三、營業報告書及財務報表:是 5.重要決議事項四、董監事選舉:無 6.重要決議事項五、其他事項:無 7.其他應敘明事項:無,2454
5,3,110/06/10,20:52:41,顧大為,財務長,(03)5670766,代重要子公司達發科技股份有限公司公告 董事會解除經理人競業禁止之限制,第 21款,110/06/10,1.董事會決議日:110/06/10 2.許可從事競業行為之經理人姓名及職稱: 王博民；副總經理 何旭峰；副總經理 3.許可從事競業行為之項目: 許可王博民從事競業項目包括： 亞信電子股份有限公司 董事 許可何旭峰從事競業項目包括： 九暘電子股份有限公司  董事 4.許可從事競業行為之期間:任職期間 5.決議情形（請依公司法第32條說明表決結果）: 除對本案有利益關係之董事已迴避外， 經其餘出席董事全體無異議通過 6.所許可之競業行為如屬大陸地區事業之營業者，經理人姓名及職稱 （非屬大陸地區事業之營業者，以下請輸〝不適用〞）: 不適用 7.所擔任該大陸地區事業之公司名稱及職務: 不適用 8.所擔任該大陸地區事業地址: 不適用 9.所擔任該大陸地區事業營業項目: 不適用 10.對本公司財務業務之影響程度:無 11.經理人如有對該大陸地區事業從事投資者，其投資金額及持股比例:不適用 12.其他應敘明事項:無,2454
6,3,110/06/15,17:55:18,顧大為,財務長,(03)5670766,代重要子公司旭思投資股份有限公司公告董事會決議分派股利,第 14款,110/06/15,"1.董事會決議日期:110/06/15 2.發放股利種類及金額:現金股利新台幣1,575,339,334元 3.其他應敘明事項:無",2454
7,4,110/06/15,17:55:30,顧大為,財務長,(03)5670766,代重要子公司旭思投資股份有限公司公告董事會決議通過 辦理現金減資案,第 11款,110/06/15,"1.董事會決議日期:110/06/15 2.減資緣由:提升資金管理效率 3.減資金額:1,310,000,000元 4.消除股份:131,000,000股 5.減資比率:20.98% 6.減資後股本:4,933,047,560元 7.預定股東會日期:不適用 8.預計減資新股上市後之上市普通股股數:不適用 9.預計減資新股上市後之上市普通股股數占已發行普通股比率 （減資後上市普通股股數/減資後已發行普通股股數）:不適用 10.前二項預計減資後上巿普通股股數未達6000萬股且未達25%者， 請說明股權流通性偏低之因應措施:不適用 11.減資基準日:110/06/30 12.其他應敘明事項:無",2454
8,1,110/06/18,19:25:40,顧大為,財務長,(03)5670766,公告本公司董事會決議變更110年股東常會召開日期 (依金管會公告「因應疫情公開發行公司股東會延期召開 相關措施」辦理),第 17款,110/06/18,1.董事會決議日期:110/06/18 2.股東會召開日期:110/07/05 3.股東會召開時間:上午九點整 4.股東會召開地點:新竹科學園區篤行一路1號聯發科技 5.股東會召集事由，請查閱本公司原發布之重大訊息， 重大訊息日期(x月x日):110/03/19 6.其他應述明事項:無,2454
9,11,110/06/18,19:29:08,顧大為,財務長,(03)5670766,公告董事會通過取得重大資訊設備案,第 20款,110/06/18,1.標的物之名稱及性質（如坐落台中市北區ＸＸ段ＸＸ小段土地）: 資訊設備 2.事實發生日:110/6/18~110/6/18 3.交易單位數量（如ＸＸ平方公尺，折合ＸＸ坪）、每單位價格及交易總金額: 資訊設備新台幣52.3億元 4.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之關 係人者，得免揭露其姓名）: 交易相對人：雲達科技、華碩電腦、永信科技、大綜電腦系統、凌羣電腦、 華電聯網、新加坡商網達新進科技等公司 與公司之關係：無 5.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移轉之 所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次移轉日期 及移轉金額: 不適用 6.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係 人之取得及處分日期、價格及交易當時與公司之關係: 不適用 7.預計處分利益（或損失）（取得資產者不適用）（遞延者應列表說明 認列情形）: 不適用 8.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定 事項: 依訂單條件付款。 9.本次交易之決定方式（如招標、比價或議價）、價格決定之參考依據及 決策單位: 比價及議價；廠商提供之報價單及市場行情；依本公司董事會核決辦理。 10.專業估價者事務所或公司名稱及其估價金額: 不適用 11.專業估價師姓名: 不適用 12.專業估價師開業證書字號: 不適用 13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用 14.是否尚未取得估價報告:否或不適用 15.尚未取得估價報告之原因: 不適用 16.估價結果有重大差異時，其差異原因及會計師意見: 不適用 17.會計師事務所名稱: 不適用 18.會計師姓名: 不適用 19.會計師開業證書字號: 不適用 20.經紀人及經紀費用: 無 21.取得或處分之具體目的或用途: 供營運用。 22.本次交易表示異議之董事之意見: 無 23.本次交易為關係人交易:否 24.董事會通過日期: 110/06/18 25.監察人承認或審計委員會同意日期: 110/06/18 26.本次交易係向關係人取得不動產或其使用權資產:否 27.依「公開發行公司取得或處分資產處理準則」第十六條規定 評估之價格:不適用 28.依前項評估之價格較交易價格為低者，依同準則第十七條規 定評估之價格:不適用 29.其他敘明事項: 無,2454
